r: 178, g: 137, b: 96
r: 185, g: 144, b: 103
r: 184, g: 140, b: 103
r: 178, g: 134, b: 97
r: 172, g: 131, b: 90
r: 171, g: 130, b: 89
r: 153, g: 109, b: 71
r: 150, g: 106, b: 69
r: 162, g: 120, b: 80
r: 163, g: 122, b: 81
r: 160, g: 116, b: 78
r: 152, g: 108, b: 70
r: 110, g: 72, b: 37
r: 167, g: 129, b: 94
r: 170, g: 132, b: 99
r: 174, g: 136, b: 103
r: 179, g: 142, b: 107
r: 162, g: 124, b: 89
r: 158, g: 120, b: 88
r: 153, g: 115, b: 82
r: 206, g: 169, b: 133
r: 144, g: 107, b: 72
r: 139, g: 101, b: 68
r: 210, g: 172, b: 139
r: 218, g: 180, b: 145
r: 140, g: 102, b: 67
r: 142, g: 104, b: 71
r: 239, g: 201, b: 168
r: 172, g: 126, b: 85
r: 187, g: 141, b: 100
r: 196, g: 153, b: 110
r: 141, g: 98, b: 56
r: 160, g: 116, b: 76
r: 207, g: 164, b: 124
r: 155, g: 116, b: 77
r: 134, g: 95, b: 56
r: 199, g: 162, b: 126
r: 168, g: 130, b: 95
r: 146, g: 113, b: 78
r: 210, g: 177, b: 142
r: 205, g: 172, b: 140
r: 155, g: 122, b: 90
r: 182, g: 150, b: 118
r: 179, g: 148, b: 115
r: 157, g: 122, b: 84
r: 147, g: 113, b: 74
r: 179, g: 146, b: 107
r: 179, g: 146, b: 107
r: 153, g: 119, b: 80
r: 168, g: 134, b: 95
r: 183, g: 151, b: 112
r: 173, g: 140, b: 101
r: 164, g: 129, b: 91
r: 142, g: 107, b: 69
r: 168, g: 136, b: 97
r: 184, g: 152, b: 113
r: 147, g: 113, b: 74
r: 141, g: 106, b: 67
r: 173, g: 140, b: 101
r: 183, g: 151, b: 112
r: 147, g: 114, b: 82
r: 182, g: 148, b: 117
r: 215, g: 181, b: 147
r: 127, g: 94, b: 60
r: 135, g: 102, b: 70
r: 212, g: 179, b: 147
r: 172, g: 138, b: 104
r: 166, g: 133, b: 98
r: 215, g: 181, b: 149
r: 152, g: 118, b: 86
r: 124, g: 91, b: 56
r: 172, g: 138, b: 104
r: 165, g: 131, b: 99
r: 165, g: 131, b: 99
r: 226, g: 193, b: 159
r: 210, g: 177, b: 142
r: 170, g: 138, b: 110
r: 149, g: 117, b: 89
r: 203, g: 171, b: 141
r: 175, g: 143, b: 113
r: 123, g: 89, b: 57
r: 170, g: 137, b: 105
r: 194, g: 159, b: 123
r: 163, g: 127, b: 92
r: 208, g: 168, b: 133
r: 151, g: 111, b: 76
r: 149, g: 107, b: 69
r: 160, g: 119, b: 81
r: 133, g: 89, b: 49
r: 128, g: 85, b: 45
r: 150, g: 107, b: 65
r: 147, g: 104, b: 61
r: 156, g: 119, b: 81
r: 220, g: 183, b: 145
r: 193, g: 158, b: 120
r: 158, g: 123, b: 85
r: 183, g: 146, b: 108
r: 167, g: 129, b: 92
r: 141, g: 106, b: 67
r: 164, g: 129, b: 91
r: 181, g: 143, b: 106
r: 136, g: 99, b: 62
r: 152, g: 117, b: 79
r: 161, g: 127, b: 88
r: 129, g: 92, b: 55
r: 141, g: 104, b: 66
r: 165, g: 130, b: 92
r: 152, g: 117, b: 79
r: 127, g: 97, b: 46
r: 176, g: 146, b: 95
r: 155, g: 118, b: 69
r: 143, g: 105, b: 56
r: 204, g: 156, b: 111
r: 185, g: 138, b: 92
r: 148, g: 91, b: 49
r: 177, g: 121, b: 78
r: 181, g: 122, b: 81
r: 156, g: 96, b: 55
r: 180, g: 123, b: 81
r: 189, g: 132, b: 90
r: 152, g: 100, b: 56
r: 166, g: 114, b: 70
r: 195, g: 148, b: 103
r: 175, g: 127, b: 82
r: 196, g: 152, b: 114
r: 173, g: 129, b: 91
r: 134, g: 92, b: 52
r: 164, g: 123, b: 82
r: 216, g: 172, b: 134
r: 171, g: 127, b: 90
r: 139, g: 98, b: 58
r: 201, g: 160, b: 119
r: 235, g: 191, b: 154
r: 153, g: 109, b: 71
r: 153, g: 112, b: 72
r: 178, g: 137, b: 96
r: 148, g: 104, b: 67
r: 146, g: 102, b: 64
r: 167, g: 126, b: 85
r: 163, g: 122, b: 81
r: 122, g: 84, b: 52
r: 165, g: 127, b: 95
r: 158, g: 121, b: 86
r: 163, g: 126, b: 90
r: 174, g: 136, b: 103
r: 157, g: 119, b: 87
r: 160, g: 122, b: 87
r: 161, g: 123, b: 88
r: 169, g: 131, b: 98
r: 151, g: 113, b: 81
r: 161, g: 123, b: 88
r: 205, g: 167, b: 132
r: 213, g: 175, b: 142
r: 161, g: 123, b: 90
r: 150, g: 113, b: 78
r: 201, g: 164, b: 129
r: 195, g: 149, b: 108
r: 187, g: 141, b: 100
r: 169, g: 126, b: 83
r: 161, g: 118, b: 75
r: 188, g: 144, b: 104
r: 198, g: 155, b: 115
r: 169, g: 130, b: 91
r: 167, g: 128, b: 89
r: 185, g: 148, b: 113
r: 162, g: 124, b: 89
r: 167, g: 134, b: 99
r: 187, g: 154, b: 119
r: 170, g: 137, b: 105
r: 176, g: 143, b: 111
r: 193, g: 162, b: 129
r: 161, g: 130, b: 97
r: 134, g: 99, b: 60
r: 200, g: 165, b: 127
r: 147, g: 115, b: 76
r: 135, g: 103, b: 64
r: 216, g: 181, b: 143
r: 180, g: 145, b: 107
r: 124, g: 91, b: 52
r: 182, g: 150, b: 110
r: 172, g: 137, b: 99
r: 144, g: 109, b: 71
r: 170, g: 138, b: 99
r: 194, g: 161, b: 122
r: 160, g: 126, b: 87
r: 154, g: 120, b: 81
r: 177, g: 145, b: 106
r: 173, g: 140, b: 101
r: 160, g: 126, b: 94
r: 191, g: 158, b: 126
r: 205, g: 172, b: 138
r: 159, g: 126, b: 91
r: 155, g: 122, b: 90
r: 168, g: 135, b: 103
r: 152, g: 119, b: 84
r: 194, g: 161, b: 126
r: 203, g: 169, b: 137
r: 153, g: 119, b: 87
r: 202, g: 169, b: 134
r: 205, g: 172, b: 138
r: 139, g: 105, b: 73
r: 177, g: 144, b: 112
r: 206, g: 173, b: 139
r: 128, g: 95, b: 61
r: 159, g: 128, b: 100
r: 187, g: 156, b: 128
r: 159, g: 128, b: 98
r: 170, g: 138, b: 108
r: 175, g: 141, b: 110
r: 140, g: 107, b: 75
r: 158, g: 123, b: 87
r: 188, g: 153, b: 117
r: 203, g: 163, b: 129
r: 143, g: 103, b: 68
r: 155, g: 113, b: 75
r: 177, g: 135, b: 97
r: 136, g: 93, b: 53
r: 124, g: 80, b: 40
r: 153, g: 110, b: 67
r: 152, g: 108, b: 66
r: 178, g: 141, b: 103
r: 199, g: 162, b: 124
r: 177, g: 142, b: 103
r: 174, g: 140, b: 101
r: 181, g: 143, b: 106
r: 164, g: 127, b: 90
r: 161, g: 127, b: 88
r: 154, g: 120, b: 81
r: 139, g: 101, b: 64
r: 169, g: 132, b: 94
r: 187, g: 152, b: 114
r: 123, g: 88, b: 50
r: 105, g: 68, b: 30
r: 178, g: 141, b: 103
r: 184, g: 149, b: 110
r: 130, g: 95, b: 57
r: 168, g: 138, b: 86
r: 166, g: 135, b: 84
r: 137, g: 99, b: 50
r: 170, g: 133, b: 84
r: 225, g: 177, b: 132
r: 156, g: 109, b: 63
r: 132, g: 75, b: 33
r: 236, g: 179, b: 136
r: 178, g: 119, b: 77
r: 163, g: 103, b: 62
r: 183, g: 126, b: 84
r: 189, g: 132, b: 90
r: 152, g: 100, b: 56
r: 163, g: 111, b: 67
r: 189, g: 141, b: 96
r: 179, g: 132, b: 86
