r unclip: 127, g unclip: 94, b unclip: 60
r unclip: 135, g unclip: 102, b unclip: 70
r unclip: 212, g unclip: 179, b unclip: 147
r unclip: 172, g unclip: 138, b unclip: 104
r unclip: 166, g unclip: 133, b unclip: 98
r unclip: 215, g unclip: 181, b unclip: 149
r unclip: 152, g unclip: 118, b unclip: 86
r unclip: 124, g unclip: 91, b unclip: 56
r unclip: 172, g unclip: 138, b unclip: 104
r unclip: 165, g unclip: 131, b unclip: 99
r unclip: 165, g unclip: 131, b unclip: 99
r unclip: 226, g unclip: 193, b unclip: 159
r unclip: 210, g unclip: 177, b unclip: 142
r unclip: 170, g unclip: 138, b unclip: 110
r unclip: 149, g unclip: 117, b unclip: 89
r unclip: 203, g unclip: 171, b unclip: 141
r unclip: 175, g unclip: 143, b unclip: 113
r unclip: 123, g unclip: 89, b unclip: 57
r unclip: 170, g unclip: 137, b unclip: 105
r unclip: 194, g unclip: 159, b unclip: 123
r unclip: 163, g unclip: 127, b unclip: 92
r unclip: 208, g unclip: 168, b unclip: 133
r unclip: 151, g unclip: 111, b unclip: 76
r unclip: 149, g unclip: 107, b unclip: 69
r unclip: 160, g unclip: 119, b unclip: 81
r unclip: 133, g unclip: 89, b unclip: 49
r unclip: 128, g unclip: 85, b unclip: 45
r unclip: 150, g unclip: 107, b unclip: 65
r unclip: 147, g unclip: 104, b unclip: 61
r unclip: 156, g unclip: 119, b unclip: 81
r unclip: 220, g unclip: 183, b unclip: 145
r unclip: 193, g unclip: 158, b unclip: 120
r unclip: 158, g unclip: 123, b unclip: 85
r unclip: 183, g unclip: 146, b unclip: 108
r unclip: 167, g unclip: 129, b unclip: 92
r unclip: 141, g unclip: 106, b unclip: 67
